date,is_exam,is_deadline,is_academic_event,is_personal,is_stress_period,source_events,categories
2026-04-03,0,1,0,1,1,Akbank sınav son; Beril sponsorluk; CS201 HOMEWORK 2; Cs hoca mail; MATH204 MIDTERM I,deadline; personal; stress_before_deadline; stress_before_exam
2026-04-04,0,0,0,0,1,Akbank sınav son; CS201 HOMEWORK 2; MATH204 MIDTERM I,stress_before_deadline; stress_before_exam
2026-04-05,1,0,0,0,1,Akbank sınav son; CS201 HOMEWORK 2; MATH204 MIDTERM I,exam; stress_before_deadline; stress_before_exam
2026-04-06,1,1,0,0,0,Akbank sınav son; CS201 HOMEWORK 2,deadline; exam
2026-04-10,0,0,0,0,1,DSA PROJECT DATA COLLECTION & EDA HYPOTESİS TEST,stress_before_deadline
2026-04-11,0,0,0,1,1,Beril çiçek sarı lale; DSA PROJECT DATA COLLECTION & EDA HYPOTESİS TEST; MATH306 MIDTERM,personal; stress_before_deadline; stress_before_exam
2026-04-12,0,0,0,0,1,DSA PROJECT DATA COLLECTION & EDA HYPOTESİS TEST; DSA210 MIDTERM; MATH306 MIDTERM,stress_before_deadline; stress_before_exam
2026-04-13,0,1,0,0,1,DSA PROJECT DATA COLLECTION & EDA HYPOTESİS TEST; DSA210 MIDTERM; MATH306 MIDTERM,deadline; stress_before_exam
2026-04-14,0,0,0,0,1,DSA210 MIDTERM; MATH306 MIDTERM,stress_before_exam
2026-04-15,0,0,0,0,1,DSA210 MIDTERM; MATH306 MIDTERM,stress_before_exam
2026-04-16,0,0,0,0,1,DSA210 MIDTERM; MATH306 MIDTERM,stress_before_exam
2026-04-17,0,0,0,0,1,DSA210 MIDTERM; MATH306 MIDTERM,stress_before_exam
2026-04-18,1,0,0,0,1,DSA210 MIDTERM; MATH306 MIDTERM,exam; stress_before_exam
2026-04-19,1,0,0,0,0,DSA210 MIDTERM,exam
2026-04-26,0,0,0,0,1,IE311 MIDTERM II,stress_before_exam
2026-04-27,0,0,0,0,1,IE311 MIDTERM II,stress_before_exam
2026-04-28,0,0,0,0,1,IE311 MIDTERM II,stress_before_exam
2026-04-29,0,0,0,0,1,IE311 MIDTERM II,stress_before_exam
2026-04-30,0,0,0,0,1,IE311 MIDTERM II,stress_before_exam
2026-05-01,0,0,0,0,1,DSA PROJECT ML METHODS; IE311 MIDTERM II,stress_before_deadline; stress_before_exam
2026-05-02,0,0,0,0,1,DSA PROJECT ML METHODS; IE311 MIDTERM II,stress_before_deadline; stress_before_exam
2026-05-03,1,0,0,0,1,DSA PROJECT ML METHODS; IE311 MIDTERM II; MATH204 MIDTERM II,exam; stress_before_deadline; stress_before_exam
2026-05-04,0,1,0,0,1,DSA PROJECT ML METHODS; MATH204 MIDTERM II,deadline; stress_before_exam
2026-05-05,0,0,0,0,1,MATH204 MIDTERM II,stress_before_exam
2026-05-06,0,0,0,0,1,MATH204 MIDTERM II,stress_before_exam
2026-05-07,0,0,0,0,1,MATH204 MIDTERM II,stress_before_exam
2026-05-08,0,0,0,0,1,MATH204 MIDTERM II,stress_before_exam
2026-05-09,0,0,0,0,1,MATH204 MIDTERM II,stress_before_exam
2026-05-10,1,0,0,0,1,DSA PROJECT FINAL REPORT; MATH204 MIDTERM II,exam; stress_before_exam
2026-05-11,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-12,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-13,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-14,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-15,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-16,0,0,0,0,1,DSA PROJECT FINAL REPORT,stress_before_exam
2026-05-17,1,0,0,0,0,DSA PROJECT FINAL REPORT,exam
